2.8022 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
136.3937 	EXP 	text_item: autoDraw = False
136.3937 	EXP 	text_2: autoDraw = True
136.8841 	EXP 	New trial (rep=6, index=0): None
136.9055 	EXP 	text_2: autoDraw = False
136.9055 	EXP 	text_2: autoDraw = False
136.9055 	EXP 	text_number_b: height = 0.05
136.9055 	EXP 	text_number_b: height = 0.05
136.9055 	EXP 	text_number_b: height = 0.05
136.9055 	EXP 	text_number_b: text = 'Recuerda este número: 76841 \n \n Presiona ENTER para continuar.'
136.9055 	EXP 	text_number_b: autoDraw = True
138.0532 	DATA 	Keypress: 3
138.0678 	DATA 	Keypress: 2
138.1624 	DATA 	Keypress: 5
138.2884 	DATA 	Keypress: 2
138.3325 	DATA 	Keypress: 3
138.3345 	DATA 	Keypress: 5
138.6563 	DATA 	Keypress: return
138.6608 	EXP 	text_number_b: autoDraw = False
138.6608 	EXP 	textInput: autoDraw = True
138.6608 	EXP 	textPrompt: autoDraw = True
138.9500 	DATA 	Keypress: 2
139.0166 	DATA 	Keypress: 3
139.0888 	DATA 	Keypress: 5
139.2446 	DATA 	Keypress: 2
139.5319 	DATA 	Keypress: 5
139.5708 	DATA 	Keypress: 2
139.8614 	DATA 	Keypress: 2
140.2704 	DATA 	Keypress: return
140.2746 	EXP 	textInput: autoDraw = False
140.2746 	EXP 	textPrompt: autoDraw = False
140.2746 	EXP 	text_2: autoDraw = True
140.7914 	EXP 	text_2: autoDraw = False
140.7914 	EXP 	text_item: height = 0.05
140.7914 	EXP 	text_item: height = 0.05
140.7914 	EXP 	text_item: height = 0.05
140.7914 	EXP 	text_item: text = "“Las mascarillas son efectivas para evitar el contagio de COVID-19”. \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
140.7914 	EXP 	text_item: autoDraw = True
148.2102 	DATA 	Keypress: q
148.2152 	EXP 	text_item: autoDraw = False
148.2152 	EXP 	text_2: autoDraw = True
148.7047 	EXP 	New trial (rep=7, index=0): None
148.7273 	EXP 	text_2: autoDraw = False
148.7273 	EXP 	text_number_b: height = 0.05
148.7273 	EXP 	text_number_b: height = 0.05
148.7273 	EXP 	text_number_b: height = 0.05
148.7273 	EXP 	text_number_b: text = 'Recuerda este número: 78364 \n \n Presiona ENTER para continuar.'
148.7273 	EXP 	text_number_b: autoDraw = True
150.2986 	DATA 	Keypress: return
150.3238 	EXP 	text_number_b: autoDraw = False
150.3238 	EXP 	textInput: autoDraw = True
150.3238 	EXP 	textPrompt: autoDraw = True
150.8837 	DATA 	Keypress: 2
150.9185 	DATA 	Keypress: 3
151.0537 	DATA 	Keypress: 5
151.2793 	DATA 	Keypress: 2
151.3681 	DATA 	Keypress: 5
151.4440 	DATA 	Keypress: 2
151.5819 	DATA 	Keypress: 5
151.5969 	DATA 	Keypress: 3
151.7735 	DATA 	Keypress: 5
151.8158 	DATA 	Keypress: 2
151.8320 	DATA 	Keypress: 3
152.1089 	DATA 	Keypress: return
152.1132 	EXP 	textInput: autoDraw = False
152.1132 	EXP 	textPrompt: autoDraw = False
152.1132 	EXP 	text_2: autoDraw = True
152.6281 	EXP 	text_2: autoDraw = False
152.6281 	EXP 	text_2: autoDraw = False
152.6281 	EXP 	text_item: height = 0.05
152.6281 	EXP 	text_item: height = 0.05
152.6281 	EXP 	text_item: height = 0.05
152.6281 	EXP 	text_item: text = "“El test PCR es eficaz para detectar el COVID-19”. \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
152.6281 	EXP 	text_item: autoDraw = True
153.6407 	DATA 	Keypress: q
153.6456 	EXP 	text_item: autoDraw = False
153.6456 	EXP 	text_2: autoDraw = True
154.1360 	EXP 	New trial (rep=8, index=0): None
154.1578 	EXP 	text_2: autoDraw = False
154.1578 	EXP 	text_2: autoDraw = False
154.1578 	EXP 	text_number_b: height = 0.05
154.1578 	EXP 	text_number_b: height = 0.05
154.1578 	EXP 	text_number_b: height = 0.05
154.1578 	EXP 	text_number_b: text = 'Recuerda este número: 67931 \n \n Presiona ENTER para continuar.'
154.1578 	EXP 	text_number_b: autoDraw = True
154.8132 	DATA 	Keypress: return
154.8181 	EXP 	text_number_b: autoDraw = False
154.8181 	EXP 	textInput: autoDraw = True
154.8181 	EXP 	textPrompt: autoDraw = True
155.4546 	DATA 	Keypress: 2
155.4893 	DATA 	Keypress: 3
155.7653 	DATA 	Keypress: 3
155.7824 	DATA 	Keypress: 5
155.8017 	DATA 	Keypress: 2
155.9554 	DATA 	Keypress: 3
155.9708 	DATA 	Keypress: 5
156.1498 	DATA 	Keypress: 5
156.1832 	DATA 	Keypress: 2
156.2144 	DATA 	Keypress: 3
156.5342 	DATA 	Keypress: return
156.5386 	EXP 	textInput: autoDraw = False
156.5386 	EXP 	textPrompt: autoDraw = False
156.5386 	EXP 	text_2: autoDraw = True
157.0579 	EXP 	text_2: autoDraw = False
157.0579 	EXP 	text_2: autoDraw = False
157.0579 	EXP 	text_item: height = 0.05
157.0579 	EXP 	text_item: height = 0.05
157.0579 	EXP 	text_item: height = 0.05
157.0579 	EXP 	text_item: text = "“La vacuna contra el COVID-19 puede causar infertilidad”. \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
157.0579 	EXP 	text_item: autoDraw = True
157.9071 	DATA 	Keypress: return
158.5207 	DATA 	Keypress: q
158.5256 	EXP 	text_item: autoDraw = False
158.5256 	EXP 	text_2: autoDraw = True
159.0140 	EXP 	New trial (rep=9, index=0): None
159.0326 	EXP 	text_2: autoDraw = False
159.0326 	EXP 	text_number_b: height = 0.05
159.0326 	EXP 	text_number_b: height = 0.05
159.0326 	EXP 	text_number_b: height = 0.05
159.0326 	EXP 	text_number_b: text = 'Recuerda este número: 37416 \n \n Presiona ENTER para continuar.'
159.0326 	EXP 	text_number_b: autoDraw = True
159.9074 	DATA 	Keypress: return
159.9120 	EXP 	text_number_b: autoDraw = False
159.9120 	EXP 	textInput: autoDraw = True
159.9120 	EXP 	textPrompt: autoDraw = True
160.3250 	DATA 	Keypress: 2
160.3464 	DATA 	Keypress: 3
160.6551 	DATA 	Keypress: 2
160.7452 	DATA 	Keypress: 5
161.0564 	DATA 	Keypress: 2
161.0730 	DATA 	Keypress: 3
161.2277 	DATA 	Keypress: 3
161.2563 	DATA 	Keypress: 2
161.6187 	DATA 	Keypress: return
161.6234 	EXP 	textInput: autoDraw = False
161.6234 	EXP 	textPrompt: autoDraw = False
161.6234 	EXP 	text_2: autoDraw = True
162.1420 	EXP 	text_2: autoDraw = False
162.1420 	EXP 	text_item: height = 0.05
162.1420 	EXP 	text_item: height = 0.05
162.1420 	EXP 	text_item: height = 0.05
162.1420 	EXP 	text_item: text = "“Quienes se contagian de COVID-19 generan una respuesta inmune ante el virus”. \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
162.1420 	EXP 	text_item: autoDraw = True
162.8559 	DATA 	Keypress: q
162.8776 	EXP 	text_item: autoDraw = False
162.8776 	EXP 	text_2: autoDraw = True
163.3695 	EXP 	New trial (rep=10, index=0): None
163.3913 	EXP 	text_2: autoDraw = False
163.3913 	EXP 	text_2: autoDraw = False
163.3913 	EXP 	text_number_b: height = 0.05
163.3913 	EXP 	text_number_b: height = 0.05
163.3913 	EXP 	text_number_b: height = 0.05
163.3913 	EXP 	text_number_b: text = 'Recuerda este número: 31548 \n \n Presiona ENTER para continuar.'
163.3913 	EXP 	text_number_b: autoDraw = True
163.9935 	DATA 	Keypress: return
164.0183 	EXP 	text_number_b: autoDraw = False
164.0183 	EXP 	textInput: autoDraw = True
164.0183 	EXP 	textPrompt: autoDraw = True
164.6734 	DATA 	Keypress: 6
164.6904 	DATA 	Keypress: 5
164.7103 	DATA 	Keypress: 4
164.9110 	DATA 	Keypress: 7
164.9279 	DATA 	Keypress: 5
165.1627 	DATA 	Keypress: 4
165.4141 	DATA 	Keypress: 5
165.4325 	DATA 	Keypress: 4
165.5639 	DATA 	Keypress: 7
165.7017 	DATA 	Keypress: 7
165.7575 	DATA 	Keypress: 5
165.8776 	DATA 	Keypress: 7
165.8949 	DATA 	Keypress: 4
166.0891 	DATA 	Keypress: return
166.1062 	EXP 	textInput: autoDraw = False
166.1062 	EXP 	textPrompt: autoDraw = False
166.1062 	EXP 	text_2: autoDraw = True
166.6207 	EXP 	text_2: autoDraw = False
166.6207 	EXP 	text_2: autoDraw = False
166.6207 	EXP 	text_item: height = 0.05
166.6207 	EXP 	text_item: height = 0.05
166.6207 	EXP 	text_item: height = 0.05
166.6207 	EXP 	text_item: text = "“La vía primaria de contagio de COVID-19 son las microgotas en el aire”. \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
166.6207 	EXP 	text_item: autoDraw = True
168.0509 	DATA 	Keypress: q
168.0556 	EXP 	text_item: autoDraw = False
168.0556 	EXP 	text_2: autoDraw = True
168.5457 	EXP 	New trial (rep=11, index=0): None
168.5665 	EXP 	text_2: autoDraw = False
168.5665 	EXP 	text_2: autoDraw = False
168.5665 	EXP 	text_number_b: height = 0.05
168.5665 	EXP 	text_number_b: height = 0.05
168.5665 	EXP 	text_number_b: height = 0.05
168.5665 	EXP 	text_number_b: text = 'Recuerda este número: 16498 \n \n Presiona ENTER para continuar.'
168.5665 	EXP 	text_number_b: autoDraw = True
169.2481 	DATA 	Keypress: return
169.2738 	EXP 	text_number_b: autoDraw = False
169.2738 	EXP 	textInput: autoDraw = True
169.2738 	EXP 	textPrompt: autoDraw = True
169.7607 	DATA 	Keypress: 5
169.8846 	DATA 	Keypress: 2
170.0782 	DATA 	Keypress: 3
170.3345 	DATA 	Keypress: 3
170.4547 	DATA 	Keypress: 2
170.5893 	DATA 	Keypress: 2
170.5912 	DATA 	Keypress: 5
170.7611 	DATA 	Keypress: 5
170.7913 	DATA 	Keypress: 2
171.0907 	DATA 	Keypress: return
171.1137 	EXP 	textInput: autoDraw = False
171.1137 	EXP 	textPrompt: autoDraw = False
171.1137 	EXP 	text_2: autoDraw = True
171.6351 	EXP 	text_2: autoDraw = False
171.6351 	EXP 	text_2: autoDraw = False
171.6351 	EXP 	text_item: height = 0.05
171.6351 	EXP 	text_item: height = 0.05
171.6351 	EXP 	text_item: height = 0.05
171.6351 	EXP 	text_item: text = "“Estudios científicos demuestran que las mascarillas son dañinas e inútiles”. \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
171.6351 	EXP 	text_item: autoDraw = True
172.2999 	DATA 	Keypress: q
172.3045 	EXP 	text_item: autoDraw = False
172.3045 	EXP 	text_2: autoDraw = True
172.7929 	EXP 	New trial (rep=12, index=0): None
172.8140 	EXP 	text_2: autoDraw = False
172.8140 	EXP 	text_2: autoDraw = False
172.8140 	EXP 	text_number_b: height = 0.05
172.8140 	EXP 	text_number_b: height = 0.05
172.8140 	EXP 	text_number_b: height = 0.05
172.8140 	EXP 	text_number_b: text = 'Recuerda este número: 19673 \n \n Presiona ENTER para continuar.'
172.8140 	EXP 	text_number_b: autoDraw = True
173.4883 	DATA 	Keypress: return
173.5135 	EXP 	text_number_b: autoDraw = False
173.5135 	EXP 	textInput: autoDraw = True
173.5135 	EXP 	textPrompt: autoDraw = True
174.7663 	DATA 	Keypress: 4
174.7835 	DATA 	Keypress: 3
174.9731 	DATA 	Keypress: 3
174.9911 	DATA 	Keypress: 1
175.1845 	DATA 	Keypress: 4
175.3617 	DATA 	Keypress: 1
175.5216 	DATA 	Keypress: 4
175.5659 	DATA 	Keypress: 1
175.7151 	DATA 	Keypress: 4
175.7296 	DATA 	Keypress: 1
175.9894 	DATA 	Keypress: return
175.9937 	EXP 	textInput: autoDraw = False
175.9937 	EXP 	textPrompt: autoDraw = False
175.9937 	EXP 	text_2: autoDraw = True
176.5127 	EXP 	text_2: autoDraw = False
176.5127 	EXP 	text_item: height = 0.05
176.5127 	EXP 	text_item: height = 0.05
176.5127 	EXP 	text_item: height = 0.05
176.5127 	EXP 	text_item: text = "“Nuevo estudio muestra que el test PCR puede producir Alzheimer”. \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
176.5127 	EXP 	text_item: autoDraw = True
177.1323 	DATA 	Keypress: q
177.1373 	EXP 	text_item: autoDraw = False
177.1373 	EXP 	text_2: autoDraw = True
177.6253 	EXP 	New trial (rep=13, index=0): None
177.6438 	EXP 	text_2: autoDraw = False
177.6438 	EXP 	text_number_b: height = 0.05
177.6438 	EXP 	text_number_b: height = 0.05
177.6438 	EXP 	text_number_b: height = 0.05
177.6438 	EXP 	text_number_b: text = 'Recuerda este número: 83425 \n \n Presiona ENTER para continuar.'
177.6438 	EXP 	text_number_b: autoDraw = True
178.2466 	DATA 	Keypress: 3
178.2635 	DATA 	Keypress: 4
178.3544 	DATA 	Keypress: 5
178.5339 	DATA 	Keypress: 3
178.7385 	DATA 	Keypress: return
178.7433 	EXP 	text_number_b: autoDraw = False
178.7433 	EXP 	textInput: autoDraw = True
178.7433 	EXP 	textPrompt: autoDraw = True
179.0648 	DATA 	Keypress: 3
179.8229 	DATA 	Keypress: f5
179.9797 	DATA 	Keypress: f5
180.6761 	DATA 	Keypress: 4
180.6946 	DATA 	Keypress: 5
180.9381 	DATA 	Keypress: 6
180.9586 	DATA 	Keypress: 7
180.9776 	DATA 	Keypress: 5
181.1351 	DATA 	Keypress: 6
181.2051 	DATA 	Keypress: 7
181.4182 	DATA 	Keypress: 5
181.4211 	DATA 	Keypress: 8
181.8760 	DATA 	Keypress: return
181.8989 	EXP 	textInput: autoDraw = False
181.8989 	EXP 	textPrompt: autoDraw = False
181.8989 	EXP 	text_2: autoDraw = True
182.4176 	EXP 	text_2: autoDraw = False
182.4176 	EXP 	text_2: autoDraw = False
182.4176 	EXP 	text_item: height = 0.05
182.4176 	EXP 	text_item: height = 0.05
182.4176 	EXP 	text_item: height = 0.05
182.4176 	EXP 	text_item: text = "“El test PCR no detecta la presencia de COVID-19”. \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
182.4176 	EXP 	text_item: autoDraw = True
184.0789 	DATA 	Keypress: q
184.1008 	EXP 	text_item: autoDraw = False
184.1008 	EXP 	text_2: autoDraw = True
184.5930 	EXP 	New trial (rep=14, index=0): None
184.6133 	EXP 	text_2: autoDraw = False
184.6133 	EXP 	text_2: autoDraw = False
184.6133 	EXP 	text_number_b: height = 0.05
184.6133 	EXP 	text_number_b: height = 0.05
184.6133 	EXP 	text_number_b: height = 0.05
184.6133 	EXP 	text_number_b: text = 'Recuerda este número: 69741 \n \n Presiona ENTER para continuar.'
184.6133 	EXP 	text_number_b: autoDraw = True
185.6119 	DATA 	Keypress: return
185.6379 	EXP 	text_number_b: autoDraw = False
185.6379 	EXP 	textInput: autoDraw = True
185.6379 	EXP 	textPrompt: autoDraw = True
186.3451 	DATA 	Keypress: 7
186.4050 	DATA 	Keypress: 8
186.5953 	DATA 	Keypress: 6
186.6709 	DATA 	Keypress: 8
186.8445 	DATA 	Keypress: 6
186.9641 	DATA 	Keypress: 8
187.0622 	DATA 	Keypress: 6
187.2615 	DATA 	Keypress: 8
187.3458 	DATA 	Keypress: 6
187.9809 	DATA 	Keypress: return
188.0016 	EXP 	textInput: autoDraw = False
188.0016 	EXP 	textPrompt: autoDraw = False
188.0016 	EXP 	text_2: autoDraw = True
188.5229 	EXP 	text_2: autoDraw = False
188.5229 	EXP 	text_2: autoDraw = False
188.5229 	EXP 	text_item: height = 0.05
188.5229 	EXP 	text_item: height = 0.05
188.5229 	EXP 	text_item: height = 0.05
188.5229 	EXP 	text_item: text = "“Utilizar mascarilla disminuye en un 66% las probabilidades de contagiarse de COVID-19”. \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
188.5229 	EXP 	text_item: autoDraw = True
189.6235 	DATA 	Keypress: q
189.6285 	EXP 	text_item: autoDraw = False
189.6285 	EXP 	text_2: autoDraw = True
190.1156 	EXP 	New trial (rep=15, index=0): None
190.1373 	EXP 	text_2: autoDraw = False
190.1373 	EXP 	text_number_b: height = 0.05
190.1373 	EXP 	text_number_b: height = 0.05
190.1373 	EXP 	text_number_b: height = 0.05
190.1373 	EXP 	text_number_b: text = 'Recuerda este número: 32198 \n \n Presiona ENTER para continuar.'
190.1373 	EXP 	text_number_b: autoDraw = True
191.0374 	DATA 	Keypress: return
191.0421 	EXP 	text_number_b: autoDraw = False
191.0421 	EXP 	textInput: autoDraw = True
191.0421 	EXP 	textPrompt: autoDraw = True
191.4979 	DATA 	Keypress: 6
191.5182 	DATA 	Keypress: 5
191.5778 	DATA 	Keypress: 7
191.7383 	DATA 	Keypress: 5
191.9010 	DATA 	Keypress: 7
191.9678 	DATA 	Keypress: 5
192.1267 	DATA 	Keypress: 7
192.2137 	DATA 	Keypress: 5
192.3805 	DATA 	Keypress: 6
192.6683 	DATA 	Keypress: return
192.6733 	EXP 	textInput: autoDraw = False
192.6733 	EXP 	textPrompt: autoDraw = False
192.6733 	EXP 	text_2: autoDraw = True
193.1904 	EXP 	text_2: autoDraw = False
193.1904 	EXP 	text_item: height = 0.05
193.1904 	EXP 	text_item: height = 0.05
193.1904 	EXP 	text_item: height = 0.05
193.1904 	EXP 	text_item: text = "“El COVID-19 está causado por un virus, no una bacteria”. \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
193.1904 	EXP 	text_item: autoDraw = True
194.6279 	DATA 	Keypress: q
194.6328 	EXP 	text_item: autoDraw = False
194.6328 	EXP 	text_2: autoDraw = True
195.1331 	EXP 	text_2: autoDraw = False
195.1331 	EXP 	text_3: autoDraw = True
195.8431 	DATA 	Keypress: return
197.4343 	DATA 	Keypress: space
197.4399 	EXP 	text_3: autoDraw = False
197.4963 	EXP 	window1: mouseVisible = True
